"","2","3","5","10"
"accuracy",0.943687273294205,0.953751074921288,0.953368386042299,0.939915454915455
"precision",0.920452959433469,0.931392188199968,0.936781551781552,0.928941798941799
"recall",0.926579520697168,0.940798460798461,0.940825840825841,0.921243386243386
"fscore",0.920311168054284,0.934158703291405,0.936522220952641,0.918617438632919
"C",0.1,0.1,0.1,0.1
"M",1,5,1,1
